geoid_r	pop_rIp	GDPpc_rIp	educ_rIp	allpat	popd_rIp
1	25567.85	5105.31		0.00	-1.29
4	268253.72	3583.40	5.74	0.00	3.53
6	281282.02	6366.47	8.87	0.03	8.30
7	18999.63	5085.17	5.15	0.00	-0.94
19	40269.75	4895.34	4.91	0.02	-0.00
27	68713.27	5308.03	5.75	0.06	2.11
34	266040.57	3993.85	5.76	0.00	4.57
36	36926.31	5282.99	5.34	0.00	1.79
38	816189.34	10851.32	7.35	0.05	7.71
40	439014.90	4354.41	6.64	0.03	4.13
41	672826.90	4046.02	5.27	0.02	3.58
44	460195.76	6001.37	7.88	0.00	2.62
45	513825.62	2514.17	5.02	0.03	2.59
48	64491.08	16403.25	7.31	0.03	2.07
49	105904.40	6935.24	7.68	0.01	2.49
51	611579.33	2152.32	3.96	0.00	3.56
52	313441.11	2575.60	4.40	0.03	2.81
53	619940.71	4009.92	6.36	0.03	3.89
57	479591.49	6552.42	4.41	0.01	0.65
60	281651.51	4627.73	7.73	0.02	3.24
62	3453398.82	7088.47	8.77	0.04	5.23
64	188930.25	3811.42	7.09	0.00	3.79
66	105142.28	12649.20	7.66	0.00	3.73
69	716040.34	9198.63	9.09	0.03	4.82
70	107106.08	2474.03	6.01	0.02	2.96
73	939128.78	2965.30	6.40	0.01	5.47
74	372867.45	1839.94	4.76	0.03	4.07
77	302888.54	5512.39	6.23	0.00	4.23
78	261154.33	4064.20	6.92	0.00	4.43
79	206001.77	2316.29	6.24	0.00	3.59
83	104176.53	2935.43	4.99	0.00	3.98
85	1648284.06	4932.72	7.15	0.05	5.14
86	326736.87	3034.08	5.49	0.03	4.59
88	204376.91	2331.06	5.49	0.03	4.20
91	1190966.80	5145.09	8.03	0.04	5.11
93	220729.75	3702.12	6.23	0.03	4.96
98	372279.72	7673.71	4.09	0.05	0.37
99	2295529.23	5953.18	4.99	0.05	4.26
101	585326.87	3316.16	3.63	0.02	3.81
102	835487.71	6091.39	4.57	0.10	3.98
105	873138.23	6672.06	4.33	0.03	4.32
106	2505815.74	8171.61	7.34	0.00	8.03
107	224778.67	5737.63	4.96	0.03	5.59
111	498352.62	3061.01	3.37	0.00	3.53
116	757463.48	4285.08	4.62	0.08	4.03
117	379206.51	4139.77	4.00	0.03	3.47
119	506684.55	3120.91	4.20	0.07	3.75
120	318695.98	2631.68	3.60	0.00	4.01
121	523526.78	3413.28	4.07	0.26	3.85
122	271553.21	6067.01	4.49	0.00	1.81
124	53806.31	5224.73	5.44	0.06	-0.37
126	166767.05	7451.75	7.42	0.00	1.68
127	193500.42	11847.96	7.46	0.14	1.01
128	120352.43	5947.85	6.31	0.03	1.00
129	281333.34	3340.54	5.83	0.03	2.49
130	2911671.29	7143.01	7.38	0.29	5.71
131	777064.69	5741.63	7.00	0.05	4.39
132	483719.39	2763.04	5.13	0.00	3.14
133	911651.18	4867.36	5.85	0.06	3.67
134	386770.81	5222.39	5.35	0.04	3.68
135	611255.93	3697.04	5.02	0.02	2.62
137	217107.57	3182.60	3.09	0.08	0.99
138	3513014.62	5185.02	3.90	0.18	0.69
139	2441919.36	1662.25	2.67	0.08	2.68
140	1375434.72	6588.67	3.55	0.07	0.60
141	3401389.47	7315.09	4.67	0.83	2.33
142	8291358.50	5357.02	4.25	0.74	3.27
143	5192056.61	7835.85	5.10	0.11	3.49
144	16780769.90	10874.09	5.42	0.29	4.81
145	4726060.15	6417.95	4.44	0.12	3.76
146	2536185.65	7061.19	4.84	0.45	3.84
147	3210966.71	2552.68	3.10	0.06	3.76
148	1273555.69	1624.14	2.65	0.05	2.29
149	1238120.03	2507.27	2.78	0.04	4.45
150	5873506.90	3467.07	3.07	0.20	3.00
151	1364551.09	5949.32	4.53	0.04	4.01
152	1588135.95	2208.19	3.03	0.12	4.01
153	3580801.41	3284.73	3.67	0.07	4.27
154	6921368.40	8996.18	5.82	0.19	5.66
155	1192414.48	2821.34	3.48	0.06	3.78
156	749997.24	3598.18	3.20	0.07	4.21
157	1041944.89	2657.33	5.15	0.05	2.70
162	150067.46	2570.46	4.86	0.02	0.30
163	362049.22	1784.17	3.11	0.00	1.75
166	126261.21	18351.39	7.17	0.03	-0.41
168	322980.91	5046.53	6.73	0.05	1.85
169	248033.94	12626.32	6.73	0.00	0.45
170	869751.88	7957.15	6.68	0.09	2.24
172	7936195.38	7362.34	6.96	0.50	3.72
173	1750590.09	25020.77	9.60	0.03	9.69
175	324457.89	7987.99	6.32	0.02	0.88
176	183109.72	8121.39	6.68	0.03	1.34
177	1658786.14	7813.02	7.13	0.01	2.81
179	288833.07	4911.49	6.32	0.00	2.28
180	136420.20	5146.55	7.02	0.02	0.92
181	498594.72	4576.77	6.46	0.14	1.74
182	402907.56	3583.08	5.43	0.02	1.65
183	665883.47	5145.44	6.62	0.02	3.93
184	484764.59	4195.35	5.26	0.02	2.16
185	225964.40	3483.53	5.60	0.00	1.67
186	467985.15	4735.53	5.83	0.02	2.22
187	621743.64	6032.16	6.20	0.02	2.60
188	1631470.05	8304.19	6.96	0.05	3.04
189	457250.98	4178.12	5.33	0.06	3.28
190	393098.05	11481.91	5.10	0.08	2.78
191	120104.57	5583.88	3.45	0.03	1.15
192	513902.30	7796.40	5.57	0.04	4.97
193	190805.29	6070.08	3.67	0.05	2.33
194	397149.58	9531.71	5.58	0.33	1.18
196	80591.48	5273.65	4.35	0.06	2.38
197	282766.10	16147.35	4.62	0.07	3.01
198	224597.20	5586.41	4.08	0.03	1.87
199	546547.19	4451.34	4.58	0.29	4.02
200	261953.50	4002.02	4.64	0.05	3.69
201	841767.78	10097.46	6.21	0.23	5.25
202	218986.07	13897.72	4.65	0.08	2.69
204	255126.74	4801.28	3.82	0.02	3.23
205	323647.42	4028.58	3.93	0.04	4.06
206	372934.00	4294.04	4.42	0.02	4.23
208	175195.97	4537.45	4.21	0.03	4.00
209	998630.03	17794.91	5.24	0.32	3.79
210	14951121.58	1782.57	4.90	0.29	6.65
212	29108906.38	1874.93	3.34	0.78	6.07
214	502266.59	11988.81	4.48	0.06	5.37
215	204217.10	3521.48	3.49	0.00	4.19
217	699939.68	2696.54	3.48	0.03	4.93
219	270408.97	2732.72	3.16	0.03	5.61
221	237975.31	1836.45	3.28	0.03	4.81
223	116331.75	8658.68	5.40	0.03	5.99
224	218553.42	4425.41	3.65	0.00	4.19
226	236814.23	20060.46	3.45	0.05	4.80
228	115992.97	3719.98	3.45	0.03	4.44
229	560667.55	4457.87	4.11	0.03	4.97
230	379536.52	4015.71	3.82	0.03	4.03
236	704280.09	422.66	2.51	0.03	3.48
247	1143157.18	652.10	2.76	0.03	4.14
254	706350.46	660.04	2.93	0.00	3.89
255	1194033.29	1956.94	7.21	0.06	6.01
258	854662.14	927.17		0.03	5.22
259	859074.16	2722.86	7.58	0.00	5.32
260	894312.66	1786.26	7.33	0.03	5.85
263	2504810.05	4289.23	8.58	0.04	7.22
265	4566342.74	4739.47	5.62	0.29	2.39
266	7100031.75	6951.10	5.76	2.23	3.54
267	1265011.28	4390.31	5.01	0.34	2.82
268	2954626.78	5250.52	5.11	0.18	3.81
269	2191883.76	2101.79	4.61	0.09	5.72
270	5944782.78	1617.37	4.78	0.21	4.71
271	1544337.61	1145.87	4.28	0.05	5.00
272	6488726.00	1503.92	7.74	0.02	4.93
273	7972856.00	1077.37	7.87	0.04	4.79
284	944903.36	5573.12	4.87	0.21	4.50
285	541034.29	8986.25	5.88	0.13	7.00
286	757663.42	4059.89	4.75	0.06	4.98
287	1050403.84	6163.18	5.38	0.14	4.66
288	557977.04	2666.18	4.68	0.12	4.28
289	264903.75	6362.44	5.69	0.04	5.72
290	349177.67	6174.46	5.45	0.07	4.63
291	507694.86	5398.05	5.13	0.07	3.31
292	1868245.90	10195.40	6.78	0.48	6.07
293	363060.35	8752.72	4.98	0.05	3.98
294	888611.61	4988.79	4.53	0.03	3.08
295	819754.89	5952.66	4.64	0.08	2.56
296	4513740.00	669.03	5.19	0.03	5.92
297	7971180.00	702.83	4.50	0.06	3.54
298	1506783.12	1797.58	4.74	0.06	3.58
299	2073974.50	1181.77	6.55	0.04	5.76
301	1833343.92	5163.55	6.12	0.03	4.14
302	5421934.96	2526.39	6.47	0.02	5.01
303	2040837.59	9946.11	5.80	0.03	3.69
304	1110195.55	12952.60	6.43	0.06	2.38
306	19703320.91	2101.67	5.38	0.03	6.71
307	14843032.48	1755.73	4.76	0.07	6.79
309	2084493.11	2041.87	5.85	0.03	4.57
310	1514929.14	1686.32	6.19	0.06	6.84
313	4244919.16	8312.34	8.36	0.11	9.78
315	3175875.34	1343.28	5.00	0.17	5.20
316	3456728.42	3016.68	5.37	0.03	4.17
317	1502814.54	2417.47	5.45	0.00	6.26
318	16920963.74	2314.17	4.75	0.03	6.54
321	1815500.13	1121.09	3.98	0.03	5.19
322	1831175.27	908.15	4.28	0.01	4.33
323	3765758.33	1669.59	4.98	0.01	4.76
325	962877.83	1475.08	5.63	0.05	3.48
326	1003914.96	3538.71	4.39	0.13	1.54
329	309202.14	1317.71	4.37	0.00	5.17
333	80689.09	32810.65	10.22	0.15	-2.22
334	869965.75	33473.49	11.78	2.06	-0.50
335	164286.85	37993.37	12.67	0.18	4.72
336	3357933.57	28752.63	11.57	12.00	1.95
337	801363.34	24898.15	10.93	1.34	0.34
338	2685041.58	26259.59	10.98	5.74	2.93
339	1589614.06	25680.34	10.70	3.13	0.50
340	300540.78	22784.55	11.07	0.63	1.88
345	1521131.92	800.16	2.97	0.03	6.15
353	2152350.65	3425.88	6.28	0.04	7.66
359	539580.34	985.78	7.37	0.02	3.95
396	2358051.42	12441.23	4.66	0.16	5.11
397	220519.57	15174.34	4.64	0.01	4.25
398	1242625.56	12654.98	4.35	0.08	4.20
399	2018898.55	19972.02	6.30	0.20	6.98
400	386412.97	13353.63	4.02	0.03	2.94
401	1070155.22	12855.14	6.11	0.19	3.17
402	181510.22	12950.84	5.92	0.06	1.44
403	1099023.59	12560.17	6.11	0.04	2.54
404	1448837.93	12012.24	5.49	0.19	2.30
405	734221.35	8002.51	4.90	0.01	2.39
406	1214762.29	8120.55	5.23	0.06	3.63
407	1084490.48	11732.66	5.94	0.05	2.32
408	683557.26	4455.26	4.02	0.04	2.81
409	1772844.45	16715.95	6.80	0.27	3.87
410	1086923.72	6736.03	4.53	0.02	3.43
411	1287760.48	10591.86	5.78	0.11	3.37
412	402521.65	10008.90	5.58	0.07	4.84
413	234128.83	9898.48	5.37	0.07	4.32
414	2892419.12	9963.06	5.25	0.10	4.20
415	1837500.15	5720.54	4.15	0.06	4.05
416	446759.92	6554.50	4.86	0.04	3.40
417	297447.51	12926.84	4.80	0.05	2.38
418	1530786.60	4317.59	3.53	0.04	3.43
419	2230194.75	6500.78	4.58	0.06	4.79
420	789142.14	13122.93	4.63	0.02	4.09
421	410683.39	5472.68	5.32	0.02	5.20
422	4568142.48	22841.08	7.58	0.34	8.76
423	2082858.00	6882.65	4.18	0.03	4.82
424	1371314.69	5522.46	3.98	0.05	3.68
425	1019682.81	6210.15	4.33	0.03	4.48
426	5453561.17	8644.16	5.73	0.16	6.12
427	665431.20	8443.92	5.58	0.21	5.49
428	582035.16	10297.20	5.20	0.18	4.45
429	3282635.90	6685.61	4.45	0.30	4.45
430	1601459.77	5966.30	3.21	0.27	3.68
431	301960.82	14351.34	5.21	0.00	2.19
432	740061.54	7027.06	4.38	0.08	3.57
435	536856.07	4538.43	7.01	0.02	4.77
441	453235.84	3707.64	6.02	0.03	5.34
455	381352.39	1929.09	1.03	0.04	4.28
458	1207536.38	15104.41	4.96	0.03	6.98
465	158674.91	5061.89	2.22	0.10	3.54
475	305441.87	19039.10	7.50	0.06	4.01
476	681153.51	16444.44	7.70	0.09	4.99
477	479180.17	14806.71	7.40	0.08	4.00
478	507211.65	14547.39	7.50	0.17	4.15
479	282378.56	18211.73	7.65	0.04	3.79
480	406425.98	15018.53	7.33	0.04	3.86
481	760863.34	16259.10	7.82	0.10	5.11
482	1042558.22	16359.54	7.63	0.24	4.77
483	226455.44	16097.11	7.60	0.02	3.16
484	306085.98	17636.44	7.38	0.01	3.18
485	132989.25	16563.17	7.44	0.05	2.48
486	105058.35	22355.32	8.23	0.07	2.56
487	332876.01	17905.71	7.41	0.24	3.50
488	112987.88	17386.79	8.36	0.01	3.06
489	238722.83	17503.75	8.70	0.23	3.38
490	98701.40	21402.77	8.44	0.04	3.07
491	63045.38	21628.49	9.01	0.06	2.21
492	333924.51	21834.93	8.68	0.10	4.12
493	141057.34	16250.96	8.48	0.03	2.99
494	3361533.71	27501.61	8.37	2.40	6.45
495	1408134.50	20943.54	8.30	0.51	5.30
496	418403.53	13316.05	7.45	0.04	3.40
497	267551.13	15629.69	7.49	0.03	3.03
498	937482.40	19504.54	8.01	0.06	5.38
499	695019.03	18820.42	7.77	0.13	4.57
509	2202427.89	23448.41	6.98	4.64	5.68
510	5739681.50	26185.99	7.38	13.92	6.17
511	3888887.64	27395.98	8.16	15.07	5.32
512	2370073.16	23172.28	7.46	2.44	4.94
513	4621005.95	28627.91	7.33	9.09	4.16
514	1443823.36	23834.10		1.13	4.77
515	353070.29	18312.15	8.96	0.21	3.51
516	174715.23	17037.70	9.16	0.27	3.45
517	297267.14	18381.65	9.28	0.80	3.21
518	1162020.12	28152.49	9.98	1.97	5.29
519	259504.31	22310.64	9.54	0.70	3.64
520	324688.47	20110.24	9.27	0.30	3.73
521	442451.82	25705.34	9.58	0.68	3.79
522	2113909.26	21020.40	7.29	4.23	4.63
523	939175.23	24218.33	10.52	2.19	0.51
524	839550.13	26665.64	10.48	6.49	0.40
525	2202910.21	37547.00	11.25	8.38	1.32
526	2814734.62	28041.34	11.33	9.75	1.22
527	113897.34	37471.96	10.21	1.01	-3.88
528	5719163.63	24228.68	10.69	17.36	1.50
529	519749.97	19577.39	10.27	3.48	2.28
530	624605.88	20271.07	10.75	1.77	2.77
531	455625.44	19257.80	9.95	1.53	0.32
532	93161.56	18775.85	10.58	0.82	3.07
533	363261.26	21044.39	8.96	0.05	4.60
534	755311.54	18037.89	7.89	0.16	4.93
535	190012.13	29865.70	8.99	0.11	4.51
536	467663.27	26955.81	9.19	0.22	5.84
537	791219.21	25260.77	8.96	0.16	6.27
538	753444.80	19137.34	8.59	0.21	4.64
549	7788561.81	30392.17	11.09	45.58	2.30
550	240644.48	24082.20	8.87	0.12	3.21
551	348511.86	18391.27	8.55	0.44	3.49
552	123077.90	20532.64	9.09	0.03	3.12
553	361842.44	27274.98	8.89	0.28	3.94
554	258398.63	16767.23	7.49	0.07	3.65
555	244880.21	15601.64	7.50	0.02	3.91
556	607787.64	17179.55	8.34	0.03	5.29
557	180776.31	24898.66	8.77	0.04	3.97
558	83450.20	17783.04	7.96	0.00	8.47
560	13246043.19	1304.57	2.70	0.22	5.46
561	50847960.77	812.26	1.95	0.27	6.25
562	540419.84	7240.69	6.40	0.23	8.97
563	37517081.00	1238.04	2.17	0.24	5.03
564				0.03	
565	689837.35	3720.95	4.50	0.36	5.73
566	5914742.62	3941.69	5.65	1.19	8.80
567	23570455.85	2090.48	3.00	0.82	5.44
568	10033544.71	2462.81	3.10	0.60	5.97
569	3135566.78	1928.93	3.45	0.83	4.55
570	5010907.52	1508.59	2.58	0.12	4.36
571	43732389.69	2439.86	3.65	2.83	5.57
572	1059206.58	1308.67	3.63	0.02	4.44
574	772170.38	1650.68	2.96	0.03	4.37
575	17389016.65	1126.66	2.54	0.08	5.33
576	12276521.15	2708.64	3.53	0.09	6.03
577	26161131.62	1284.33	1.95	0.07	4.90
578	246031.60	1742.58	2.32	0.03	4.11
579	1514296.42	1320.40	3.87	0.00	5.56
580	78751457.23	1141.51	2.29	1.67	6.14
581	38184884.31	1556.72	2.90	0.57	6.69
582	135636.53	2698.50	3.06	0.02	5.61
584	178029.71	2761.12	2.77	0.04	4.93
586	776387.69	2954.77	3.30	0.08	4.19
587	575868.87	1722.87	2.18	0.00	4.53
588	466372.39	1168.43	2.82	0.06	4.86
591	842862.72	2127.72	3.11	0.10	5.02
595	355024.20	3290.55	3.23	0.03	4.69
597	453896.59	1239.34	2.87	0.06	5.04
598	110784.01	2592.38	3.10	0.05	4.60
599	364502.25	6104.15	3.54	0.03	5.78
600	1181422.31	2326.00	2.75	0.03	4.69
601	492703.93	2537.82	2.76	0.05	4.59
602	231739.92	1554.68	2.41	0.00	3.57
604	353240.42	6077.88	6.83	0.11	6.94
605	305929.07	12829.36	4.64	0.07	5.92
606	259548.30	1567.68	2.42	0.03	4.38
609	376672.81	2402.82	3.11	0.00	4.21
610	346396.89	8254.43	3.66	0.02	5.56
612	613469.54	1210.41	2.61	0.00	5.01
620	211378.51	2243.06	2.45	0.03	3.13
621	139599.57	2326.84	2.49	0.16	3.69
622	238088.95	2014.84	2.89	0.01	4.06
623	262125.11	1192.23	2.55	0.03	4.80
627	2227605.62	5075.45	7.86	0.05	4.28
631	1758226.87	8075.06	8.38	0.03	4.14
632	1035036.41	3921.94	7.44	0.03	4.41
635	1399661.31	5610.36	8.62	0.01	2.58
636	1120959.63	3676.71	7.93	0.03	4.39
637	2405721.38	17728.77	8.16	0.03	4.16
641	796438.25	7567.83	8.09	0.10	3.84
642	4595443.50	4524.95	7.68	0.04	3.01
644	596737.69	4552.53	8.00	0.06	4.43
645	343874.66	6564.12	8.78	0.03	1.82
646	1229860.94	2349.02	7.57	0.00	2.51
647	7614117.75	9477.97	8.66	0.06	6.46
653	237659.71	25233.44	5.87	0.04	4.93
654	487799.08	108874.62	7.07	0.07	2.64
655	395060.30	71454.84	8.28	0.07	5.03
657	1606319.96	10091.53	5.75	0.00	5.25
658	610195.50	6348.77	4.89	0.03	4.17
659	275362.85	7727.78	4.77	0.03	3.76
664	5994684.03	10969.30	6.00	0.21	6.05
665	421389.44	5666.41	4.83	0.02	5.01
666	2136621.43	8135.94	6.56	0.08	4.67
669	396922.88	7071.94	5.80	0.08	3.79
670	283150.23	4447.29	3.88	0.03	3.45
671	681378.93	6382.48	5.30	0.05	3.89
672	1129928.00	4947.34	4.92	0.02	3.58
675	447547.18	5953.44	4.84	0.00	4.15
676	261991.40	4629.22	5.44	0.00	3.83
677	364699.43	5622.99	4.61	0.03	3.84
678	697800.43	6738.74	4.48	0.06	4.42
679	338101.26	7672.87	5.25	0.00	3.72
682	315679.46	5018.92	4.54	0.00	3.96
685	597903.14	2909.88	3.13	0.02	3.83
686	1801997.25	5604.44	4.69	0.01	4.63
687	726944.12	8126.68	5.14	0.02	4.30
690	267427.05	4689.13	4.32	0.00	3.35
692	642658.92	4918.79	4.59	0.05	5.18
696	519999.80	2809.94	4.12	0.04	4.89
698	210913.46	3246.64	4.45	0.00	2.44
699	733055.79	4795.31	4.43	0.02	4.76
700	462400.39	3518.13	4.25	0.03	4.31
702	143033.69	5121.34	4.76	0.00	3.33
706	236391.29	4972.02	4.56	0.03	4.54
711	644135.61	3735.76	3.53	0.00	4.20
714	198833.82	1911.75	3.46	0.00	3.52
715	1330602.96	2613.74	3.13	0.03	4.09
716	389842.13	2250.38	3.20	0.03	3.41
717	3430204.45	1233.64	5.79	0.06	4.74
718	3753787.33	5493.80	8.71	0.16	9.54
719	3244344.56	1642.72	1.04	0.03	2.75
723	35797396.40	1365.31	2.34	0.08	5.67
724	14432051.50	1913.56	2.68	0.02	5.17
725	8954813.05	1251.67	1.63	0.06	5.25
726	4089135.50	1093.56		0.00	5.59
728	1249986.12	573.91		0.00	4.70
731	1038178.02	774.32	11.00	0.00	3.54
733	887521.00	15808.80	9.42	0.75	5.26
734	1345039.42	15128.56	10.71	0.03	9.35
735	972085.91	13773.30	9.44	0.52	4.51
736	4799268.21	15700.55	10.66	48.81	6.57
737	6379354.19	17566.98	11.38	34.16	9.74
738	1212693.24	11754.07	9.40	0.53	5.54
739	2200946.14	14436.50	9.52	3.31	5.77
740	2019805.75	14994.82	9.66	8.90	5.90
741	1722521.29	17427.62	9.13	7.50	4.95
742	2563829.33	17314.43	9.90	2.83	5.85
743	2262316.24	11736.87	10.64	0.88	9.31
744	1451259.50	11111.60	10.63	1.44	8.50
745	306659.84	12664.61	10.04	0.12	5.60
747	1046530.19	4752.18	9.31	0.12	5.51
749	186111.97	3421.25	7.96	0.03	5.40
750	504727.25	2639.11	8.64	0.01	6.10
752	110624.99	3803.87	7.93	0.01	3.90
754	70527.77	3149.66	8.28	0.15	4.61
758	4065866.11	30321.85	10.86	84.65	7.16
759	794835.32	19491.36	9.95	6.36	4.65
760	984176.57	18460.06	9.73	1.32	5.04
761	3304955.93	19985.17	10.99	55.78	6.96
762	904195.28	19987.68	10.46	4.31	5.57
763	503359.47	24305.70	10.27	111.56	5.26
764	2874726.72	22389.04	10.79	18.14	6.86
765	1313223.63	22324.49	10.10	14.11	5.02
766	1260468.12	21500.83	10.44	66.87	5.26
767	1209647.28	23659.19	10.45	18.71	5.72
768	1717014.38	25058.91	11.04	20.16	5.81
769	3270802.65	22980.43	10.87	79.65	6.46
770	1730713.96	23679.27	10.36	77.96	6.12
771	720516.06	23693.83	10.43	2.12	5.61
772	919118.40	19744.41	9.93	2.62	4.53
773	614033.27	22600.89	10.76	12.50	6.37
774	1045009.11	17751.89	10.22	5.00	5.28
775	4778788.64	23758.78	11.51	89.30	8.08
776	493084.28	18413.48	9.83	3.52	4.76
777	1087002.30	19386.66	10.16	9.42	5.49
778	1587053.81	23487.67	10.75	54.72	6.33
779	1081192.90	23223.50	10.33	19.17	5.73
780	1422151.59	22486.92	10.58	80.71	5.73
781	686774.16	17718.34	10.09	2.48	5.02
782	1331877.63	22935.89	10.68	27.67	5.06
783	931991.80	17753.73	10.19	3.86	5.91
784	808752.83	16189.06	11.19	30.09	5.89
785	1554578.79	23239.92	9.96	8.83	5.27
786	735258.17	21537.63	10.57	1.74	5.26
787	1170626.78	23782.87	10.80	114.97	5.58
788	747162.12	20236.23	10.88	0.77	6.35
789	5278611.74	28622.17	10.88	39.02	8.42
790	523062.47	19738.36	10.43	0.98	5.87
791	3846875.77	18573.47	10.89	98.05	7.39
792	742782.44	26691.42	10.61	15.32	5.70
793	474289.79	19346.07	9.95	4.99	4.74
794	2214205.09	25613.32	10.56	56.74	6.11
795	1190156.98	25382.70	10.40	17.19	5.69
796	498576.86	19359.66	9.91	2.21	5.30
797	7334678.56	44735.27	11.41	303.65	8.79
798	374314.64	21050.53	10.49	1.34	5.17
799	694277.41	25308.20	10.55	15.54	5.56
800	649179.64	19881.55	10.26	4.01	5.44
801	797773.65	20341.65	10.18	4.98	4.89
802	945612.29	23165.29	10.74	9.58	5.54
803	522989.25	22447.05	10.72	7.15	5.25
804	1060367.75	18052.32	6.23	0.21	4.21
805	398444.19	16378.10	5.85	0.19	4.10
806	1317332.25	14646.53	5.97	0.43	4.91
807	3695381.56	16111.95	6.32	0.40	6.03
808	218448.35	18038.87	6.04	0.12	4.27
809	2628981.76	16786.38	6.05	0.62	5.32
810	3122189.09	16044.81	6.04	1.57	5.27
811	381906.04	16090.80	6.10	0.02	3.70
812	1148590.21	18177.12	7.57	0.09	4.51
813	411613.38	15947.90	6.57	0.04	3.52
814	472730.32	16806.20	6.59	0.03	3.95
815	2792936.38	21178.75	8.84	0.32	5.30
816	827727.45	16487.15	6.87	0.03	3.89
817	290180.34	18305.12	7.00	0.03	3.91
818	336210.19	18622.94	7.22	0.12	4.18
823	371737.72	9632.27	7.79	0.02	5.74
824	111740.02	5707.84	5.76	0.00	4.14
827	2430162.75	3702.28	4.49	0.06	6.82
829	2284576.12	2501.35	3.53	0.03	5.78
832	1905567.75	4053.39	5.90	0.06	7.19
834	2656252.25	3334.75	5.04	0.07	4.81
836	1834130.00	2335.94	3.22	0.05	5.08
837	3890344.00	5021.89	6.59	0.10	7.66
838	1863196.69	2716.04	4.68	0.02	8.14
840	235632.77	4297.04	5.85	0.03	3.84
841	2435313.12	2674.81	4.30	0.02	6.66
843	1545294.81	1954.14	3.55	0.06	7.02
851				0.00	
853	129238.80	1501.94	2.14	0.03	-1.65
854	270150.89	1726.19	4.92	0.03	-0.53
855	1940225.55	1492.66	6.51	0.12	2.74
856	1770947.25	1810.11	6.95	4.44	2.88
857	2209789.26	1326.04	6.39	0.06	2.83
